city,positonName,salary,positionAdvantage,workYear,edution,industryField,positionLables,formatCreateTime,secondType,companyLabelList,firstType,jobNature,district,companyFullName,companySize
深圳,深圳市乐易网络有限公司,15k-30k,"海外手游,高配团队,两次调薪,年终奖",3-5年,,"移动互联网,游戏","高级,后端开发,数据分析,服务器端,全栈",2天前发布,后端开发,"技术大牛,高逼格环境,两次年度旅游,福利倍儿好",开发/测试/运维类,全职,南山区,深圳市乐易网络有限公司,150-500人
深圳,深圳众禄金融控股股份有限公司,20k-25k,"新三板,团队氛围,福利齐全",1-3年,,"移动互联网,金融","金融,信息安全,php,Java,web",2天前发布,后端开发,"股票期权,绩效奖金,专项奖金,技能培训",开发/测试/运维类,全职,罗湖区,深圳众禄金融控股股份有限公司,150-500人
深圳,深圳米筐科技有限公司,20k-28k,"架构经验,熟知数据库,善于沟通,指导队员",3-5年,,金融,"架构师,php,MySQL,架构",2天前发布,后端开发,"技能培训,股票期权,带薪年假,年度旅游",开发/测试/运维类,全职,南山区,深圳米筐科技有限公司,15-50人
深圳,深圳市南方网通网络技术开发有限公司,10k-20k,"五险一金,提供住宿,员工旅游",1-3年,,电子商务、广告营销,"大数据,算法,深度学习,机器学习,自然语言处理",1天前发布,后端开发,"技能培训,节日礼物,专项奖金,带薪年假",开发/测试/运维类,全职,南山区,深圳市南方网通网络技术开发有限公司,150-500人
深圳,深圳市万事富科技有限公司,15k-25k,"发展前景,晋升空间,五险一金,年轻团队",1-3年,,"移动互联网,电子商务","爬虫,自然语言处理",1天前发布,数据开发,"技能培训,年底双薪,绩效奖金,岗位晋升",开发/测试/运维类,全职,福田区,深圳市万事富科技有限公司,50-150人
深圳,深圳市紫川软件有限公司,9k-15k,五险一金 员工旅游 周末双休,1-3年,,"电子商务,金融","C++,mfc,qt",2天前发布,后端开发,"节日礼物,年底双薪,绩效奖金,岗位晋升",开发/测试/运维类,全职,福田区,深圳市紫川软件有限公司,150-500人
深圳,深圳市小闪快送网络科技有限公司,15k-30k,帅哥美女 扁平化 团队棒 期权 环境佳,3-5年,,"移动互联网,O2O","php,Java,服务器开发,Go",2017-08-23,后端开发,"股票期权,定期体检,绩效奖金,弹性工作",技术,全职,南山区,深圳市小闪快送网络科技有限公司,50-150人
深圳,中国都会控股集团有限公司,7k-10k,"下午茶零食,周末双休,年度旅游,十点上班",1-3年,,金融,"Java,oracle,系统开发",3天前发布,后端开发,"周末双休,年轻团队,朝十晚六,技能培训",开发/测试/运维类,全职,南山区,中国都会控股集团有限公司,15-50人
深圳,深圳淘乐网络科技有限公司,8k-15k,"年终奖,免费三餐,双休,弹性工作制",不限,,游戏,"游戏,高级,中级,lua,手游,端游",2017-08-22,软件开发,"项目分成,年度旅游,骨干配车,年终奖",开发/测试/运维类,全职,南山区,深圳淘乐网络科技有限公司,150-500人
深圳,乐格商业咨询（深圳）有限公司,16k-30k,"精英团队,个人成长,外企文化,创业精神",3-5年,,"企业服务,数据服务","后端开发,架构",12:58发布,后端开发,"节日礼物,技能培训,职业发展预期,岗位晋升",开发/测试/运维类,全职,福田区,乐格商业咨询（深圳）有限公司,150-500人
深圳,武汉佰钧成技术有限责任公司,15k-30k,"牛人团队,薪资高,福利好",3-5年,,移动互联网,"云计算,软件开发,linux,OpenStack",1天前发布,软件开发,"带薪年假,计算机软件,管理规范,定期体检",开发/测试/运维类,全职,宝安区,武汉佰钧成技术有限责任公司,2000人以上
深圳,厦门笨鸟电子商务有限公司,15k-30k,海量数据,不限,,企业服务,"爬虫,后端,初级,中级,搜索",2天前发布,后端开发,"高新企业,扁平管理,领导好,五险一金",开发/测试/运维类,全职,南山区,厦门笨鸟电子商务有限公司,150-500人
深圳,冬竞投资有限公司深圳分公司,15k-30k,东南亚跨境电商平台、福利棒、美女多,1-3年,,电子商务,"后端开发,全栈,MySQL",2天前发布,后端开发,"定期体检,通讯津贴,带薪年假,绩效奖金",开发/测试/运维类,全职,南山区,冬竞投资有限公司深圳分公司,2000人以上
深圳,深圳市青柏信息科技有限公司,10k-15k,"五险一金,年终奖,土豪奖金,国内外旅游",1-3年,,移动互联网,"中级,web,PHP,后端,Node.js",2天前发布,后端开发,"带薪年假,年度旅游,五险一金,领导好",开发/测试/运维类,全职,南山区,深圳市青柏信息科技有限公司,50-150人
深圳,深圳市易博天下科技有限公司,11k-20k,平台好 高速增长 股票期权 创业团队,1-3年,,"移动互联网,O2O","移动互联网,web,服务器端",3天前发布,后端开发,"年底双薪,股票期权,带薪年假,创业公司范儿",技术,全职,南山区,深圳市易博天下科技有限公司,150-500人
